CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,CD_DIST,NM_MUN,NM_DIST,Total_setores,v0001,v0002,v0003,v0004,v0005,v0006,v0007
3,Sudeste,31,Minas Gerais,3111002,311100205,Campestre,Campestre,53,17966,9286,9276,10,2.598983297,0.261437908,6885
3,Sudeste,31,Minas Gerais,3111002,311100210,Campestre,Posses de São Sebastião,8,2730,1332,1331,1,2.820353063,0.20768432,963
3,Sudeste,31,Minas Gerais,3111101,311110105,Campina Verde,Campina Verde,67,16353,9037,9024,13,2.461538462,4.972041711,6617
3,Sudeste,31,Minas Gerais,3111101,311110110,Campina Verde,Honorópolis,14,1658,1411,1411,0,2.392496392,3.463203463,693
3,Sudeste,31,Minas Gerais,3111150,311115005,Campo Azul,Campo Azul,11,2628,1186,1186,0,2.903867403,,905
3,Sudeste,31,Minas Gerais,3111150,311115010,Campo Azul,Vila São José,6,1086,518,517,1,2.896,,375
3,Sudeste,31,Minas Gerais,3111200,311120005,Campo Belo,Campo Belo,124,51924,23848,23833,15,2.624949166,2.668767792,19672
3,Sudeste,31,Minas Gerais,3111200,311120010,Campo Belo,Porto dos Mendes,3,353,482,481,1,2.417808219,4.794520548,146
3,Sudeste,31,Minas Gerais,3111309,311130905,Campo do Meio,Campo do Meio,35,11377,5452,5443,9,2.778403526,0.048971596,4084
3,Sudeste,31,Minas Gerais,3111408,311140805,Campo Florido,Campo Florido,23,8466,3778,3769,9,2.776501477,0.557925829,3047
3,Sudeste,31,Minas Gerais,3111507,311150705,Campos Altos,Campos Altos,16,12222,5314,5310,4,2.756445047,0.859339665,4422
3,Sudeste,31,Minas Gerais,3111507,311150710,Campos Altos,São Jerônimo dos Poções,3,757,436,434,2,2.945525292,0.389105058,257
3,Sudeste,31,Minas Gerais,3111606,311160605,Campos Gerais,Campos Gerais,69,22655,11384,11370,14,2.712117562,0.975668514,8302
3,Sudeste,31,Minas Gerais,3111606,311160610,Campos Gerais,Córrego do Ouro,10,3450,1749,1745,4,2.925170068,0.255102041,1176
3,Sudeste,31,Minas Gerais,3111705,311170505,Canaã,Canaã,18,4715,2203,2202,1,2.765395894,0.293255132,1705
3,Sudeste,31,Minas Gerais,3111804,311180405,Canápolis,Canápolis,38,10608,4823,4817,6,2.60777998,0.346878097,4036
3,Sudeste,31,Minas Gerais,3111903,311190305,Cana Verde,Cana Verde,17,4800,2668,2665,3,2.728677733,1.659988552,1747
3,Sudeste,31,Minas Gerais,3111903,311190310,Cana Verde,Cerradinho,3,472,350,350,0,2.420512821,0.512820513,195
3,Sudeste,31,Minas Gerais,3112000,311200005,Candeias,Candeias,47,13220,7086,7075,11,2.555989075,1.111978151,5126
3,Sudeste,31,Minas Gerais,3112000,311200010,Candeias,Vieiras Bravos,6,781,520,520,0,2.656462585,0.340136054,294
3,Sudeste,31,Minas Gerais,3112059,311205905,Cantagalo,Cantagalo,10,3974,1890,1887,3,2.86517664,0.937274694,1387
3,Sudeste,31,Minas Gerais,3112109,311210905,Caparaó,Caparaó,17,5048,2402,2400,2,2.720842333,4.211663067,1852
3,Sudeste,31,Minas Gerais,3112208,311220805,Capela Nova,Capela Nova,13,4007,2160,2158,2,2.610423453,0.521172638,1535
3,Sudeste,31,Minas Gerais,3112208,311220810,Capela Nova,Palmeiras de Capela Nova,2,355,191,191,0,2.649253731,1.492537313,134
3,Sudeste,31,Minas Gerais,3112307,311230705,Capelinha,Capelinha,75,35613,15718,15701,17,2.77997334,,12753
3,Sudeste,31,Minas Gerais,3112307,311230715,Capelinha,Bom Jesus do Galego,4,583,355,355,0,2.557017544,,228
3,Sudeste,31,Minas Gerais,3112307,311230720,Capelinha,Chapadinha do Ipê,8,2849,1202,1202,0,3.030851064,,940
3,Sudeste,31,Minas Gerais,3112307,311230725,Capelinha,Ponte Nova de Capelinha,3,441,288,288,0,2.773584906,,159
3,Sudeste,31,Minas Gerais,3112307,311230730,Capelinha,São Caetano da Serra,2,140,152,152,0,1.917808219,,73
3,Sudeste,31,Minas Gerais,3112406,311240605,Capetinga,Capetinga,19,5694,2715,2713,2,2.766227428,,2049
3,Sudeste,31,Minas Gerais,3112406,311240610,Capetinga,Goianases,7,868,701,700,1,2.526627219,1.183431953,338
3,Sudeste,31,Minas Gerais,3112505,311250505,Capim Branco,Capim Branco,45,10663,4763,4761,2,2.954722222,2.694444444,3600
3,Sudeste,31,Minas Gerais,3112604,311260405,Capinópolis,Capinópolis,49,14655,6695,6688,7,2.621165919,4.591928251,5575
3,Sudeste,31,Minas Gerais,3112653,311265305,Capitão Andrade,Capitão Andrade,15,4585,2485,2482,3,2.551647125,0.446677834,1791
3,Sudeste,31,Minas Gerais,3112703,311270305,Capitão Enéas,Capitão Enéas,29,11267,4891,4886,5,3.126318712,1.665741255,3602
3,Sudeste,31,Minas Gerais,3112703,311270310,Capitão Enéas,Caçarema,5,1588,752,751,1,2.940740741,0.37037037,540
3,Sudeste,31,Minas Gerais,3112703,311270320,Capitão Enéas,Santana da Serra,5,1253,757,757,0,2.867276888,0.915331808,437
3,Sudeste,31,Minas Gerais,3112802,311280205,Capitólio,Capitólio,43,10380,6241,6191,50,2.653470437,1.105398458,3890
3,Sudeste,31,Minas Gerais,3112901,311290105,Caputira,Caputira,24,8936,3760,3758,2,2.892521852,3.043056005,3089
3,Sudeste,31,Minas Gerais,3113008,311300805,Caraí,Caraí,15,6813,3367,3364,3,2.777187244,0.36794767,2446
3,Sudeste,31,Minas Gerais,3113008,311300810,Caraí,Marambainha,8,4072,1964,1963,1,2.923187365,0.143575018,1393
3,Sudeste,31,Minas Gerais,3113008,311300812,Caraí,Maranhão,3,1542,754,754,0,2.813868613,,548
3,Sudeste,31,Minas Gerais,3113008,311300815,Caraí,Ponto do Marambaia,8,3197,1580,1579,1,2.78,0.086956522,1150
3,Sudeste,31,Minas Gerais,3113008,311300820,Caraí,Queixadinha,5,1446,691,691,0,2.93306288,,493
3,Sudeste,31,Minas Gerais,3113008,311300825,Caraí,Santa Luiza dos Corujas,4,594,291,291,0,3.109947644,,191
3,Sudeste,31,Minas Gerais,3113008,311300830,Caraí,Ribeirão de Santana,5,1884,883,883,0,2.850226929,,661
3,Sudeste,31,Minas Gerais,3113107,311310705,Caranaíba,Caranaíba,9,2933,1487,1487,0,2.801337154,0.955109838,1047
3,Sudeste,31,Minas Gerais,3113206,311320605,Carandaí,Carandaí,32,20109,8433,8429,4,2.92252907,2.558139535,6880
3,Sudeste,31,Minas Gerais,3113206,311320610,Carandaí,Hermilo Alves,5,1982,979,979,0,2.733793103,0.551724138,725
3,Sudeste,31,Minas Gerais,3113206,311320615,Carandaí,Pedra do Sino,3,1721,736,735,1,2.887583893,0.838926174,596
3,Sudeste,31,Minas Gerais,3113305,311330505,Carangola,Carangola,56,25608,12814,12803,11,2.520497512,3.820895522,10050
3,Sudeste,31,Minas Gerais,3113305,311330510,Carangola,Alvorada,7,2409,1287,1287,0,2.624183007,1.307189542,918
3,Sudeste,31,Minas Gerais,3113305,311330520,Carangola,Lacerdinha,6,2009,1097,1097,0,2.714864865,4.594594595,740
3,Sudeste,31,Minas Gerais,3113305,311330525,Carangola,Ponte Alta de Minas,2,1214,593,593,0,2.61637931,2.586206897,464
3,Sudeste,31,Minas Gerais,3113404,311340405,Caratinga,Caratinga,112,66467,31066,31043,23,2.640458015,4.331056649,24890
3,Sudeste,31,Minas Gerais,3113404,311340407,Caratinga,Cordeiro de Minas,7,2669,1619,1619,0,2.780208333,4.166666667,960
